Date,Open,High,Low,Close,Close Change %,Volume,Weekday,High % Above Open,
"Thursday, April 19, 2018","2,701.16","2,702.84","2,681.90","2,693.13",-0.57%,"2,168,636,678",Thursday,0.062195501,
"Wednesday, April 18, 2018","2,710.11","2,717.49","2,703.63","2,708.64",0.08%,"1,965,630,369",Wednesday,0.27231367,
"Tuesday, April 17, 2018","2,692.74","2,713.34","2,692.05","2,706.39",1.07%,"1,925,630,582",Tuesday,0.765020017,
"Monday, April 16, 2018","2,670.10","2,686.49","2,665.16","2,677.84",0.81%,"1,866,870,482",Monday,0.613834688,
"Friday, April 13, 2018","2,676.90","2,680.26","2,645.05","2,656.30",-0.29%,"1,823,268,887",Friday,0.125518323,
"Thursday, April 12, 2018","2,653.83","2,674.72","2,653.83","2,663.99",0.83%,"1,922,966,393",Thursday,0.787164212,
"Wednesday, April 11, 2018","2,643.89","2,661.43","2,639.25","2,642.19",-0.55%,"1,788,526,146",Wednesday,0.663416405,
"Tuesday, April 10, 2018","2,638.41","2,665.45","2,635.78","2,656.87",1.67%,"2,132,599,583",Tuesday,1.024859669,
"Monday, April 09, 2018","2,617.18","2,653.55","2,610.79","2,613.16",0.33%,"1,923,050,595",Monday,1.389663684,
"Friday, April 06, 2018","2,645.82","2,656.88","2,586.27","2,604.47",-2.19%,"2,187,111,865",Friday,0.418017855,
"Thursday, April 05, 2018","2,657.36","2,672.08","2,649.58","2,662.84",0.69%,"2,008,036,352",Thursday,0.553933227,
"Wednesday, April 04, 2018","2,584.04","2,649.86","2,573.61","2,644.69",1.16%,"2,220,731,180",Wednesday,2.547174192,
"Tuesday, April 03, 2018","2,592.17","2,619.14","2,575.49","2,614.45",1.26%,"2,169,555,248",Tuesday,1.04044102,
"Monday, April 02, 2018","2,633.45","2,638.30","2,553.80","2,581.88",-2.23%,"2,468,994,069",Monday,0.184169056,
"Thursday, March 29, 2018","2,614.41","2,659.07","2,609.72","2,640.87",1.38%,"2,348,028,811",Thursday,1.7082248,
"Wednesday, March 28, 2018","2,611.30","2,632.65","2,593.06","2,605.00",-0.29%,"2,574,191,549",Wednesday,0.817600429,
"Tuesday, March 27, 2018","2,667.57","2,674.78","2,596.12","2,612.62",-1.73%,"2,501,316,081",Tuesday,0.270283441,
"Monday, March 26, 2018","2,619.35","2,661.36","2,601.81","2,658.55",2.72%,"2,434,497,989",Monday,1.603833012,
"Friday, March 23, 2018","2,646.71","2,657.67","2,585.89","2,588.26",-2.10%,"2,558,217,934",Friday,0.414099013,
"Thursday, March 22, 2018","2,691.36","2,695.68","2,641.59","2,643.69",-2.52%,"2,492,921,032",Thursday,0.160513644,
